transaction_id,customer_id,timestamp,category,amount_usd,payment_method,status
TXN-100000,CUST-88790,2026-01-17 20:14:12,Apparel,86.8,Credit Card,Approved
TXN-100001,CUST-33004,2025-10-21 11:05:42,Books,41.06,PayPal,Approved
TXN-100002,CUST-93439,2025-08-22 12:41:06,Apparel,78.92,Credit Card,Approved
TXN-100003,CUST-23050,2026-01-29 20:06:30,Beauty,110.84,Credit Card,Approved
TXN-100004,CUST-73927,2025-09-21 03:36:31,Beauty,20.8,Credit Card,Approved
TXN-100005,CUST-72270,2025-06-02 01:07:36,Electronics,633.87,Credit Card,Approved
TXN-100006,CUST-67236,2026-03-26 12:43:16,Home & Kitchen,252.76,PayPal,Approved
TXN-100007,CUST-66513,2026-02-23 18:06:12,Home & Kitchen,191.89,Bank Transfer,Approved
TXN-100008,CUST-31293,2026-04-10 02:36:45,Apparel,109.39,Apple Pay,Approved
TXN-100009,CUST-96218,2025-09-08 15:35:29,Beauty,179.62,Bank Transfer,Approved
TXN-100010,CUST-36578,2025-08-28 17:19:05,Books,14.86,Credit Card,Approved
TXN-100011,CUST-66083,2026-02-02 16:17:03,Apparel,72.83,Apple Pay,Approved
TXN-100012,CUST-33024,2025-07-16 18:56:00,Electronics,1081.58,Apple Pay,Approved
TXN-100013,CUST-87394,2026-05-12 08:44:03,Home & Kitchen,355.48,PayPal,Approved
TXN-100014,CUST-91967,2026-01-17 22:26:08,Electronics,508.0,PayPal,Approved
TXN-100015,CUST-23943,2025-12-10 15:05:31,Books,49.76,Bank Transfer,Approved
TXN-100016,CUST-15543,2025-06-12 04:01:22,Home & Kitchen,141.04,Credit Card,Approved
TXN-100017,CUST-13469,2025-09-04 19:05:35,Beauty,97.15,Bank Transfer,Approved
TXN-100018,CUST-17342,2025-10-25 23:03:58,Beauty,128.55,Credit Card,Approved
TXN-100019,CUST-85732,2026-05-17 12:09:35,Apparel,146.18,Apple Pay,Approved
TXN-100020,CUST-48922,2025-07-16 05:30:52,Electronics,1091.78,PayPal,Approved
TXN-100021,CUST-68424,2025-12-26 11:12:23,Books,43.98,Apple Pay,Approved
TXN-100022,CUST-74568,2025-06-21 17:56:03,Apparel,87.44,Bank Transfer,Approved
TXN-100023,CUST-89378,2026-05-14 01:34:17,Home & Kitchen,54.0,PayPal,Approved
TXN-100024,CUST-56354,2026-02-21 05:34:34,Electronics,359.26,Credit Card,Approved
TXN-100025,CUST-60772,2026-03-17 01:25:26,Home & Kitchen,51.82,Credit Card,Approved
TXN-100026,CUST-83601,2026-02-21 23:28:27,Electronics,571.84,Bank Transfer,Approved
TXN-100027,CUST-73123,2025-07-28 23:16:54,Home & Kitchen,256.25,PayPal,Approved
TXN-100028,CUST-21167,2025-08-20 10:48:08,Electronics,1164.59,PayPal,Approved
TXN-100029,CUST-36459,2025-06-07 16:16:04,Home & Kitchen,258.9,PayPal,Approved
TXN-100030,CUST-94843,2025-12-11 17:17:49,Books,30.0,Apple Pay,Approved
TXN-100031,CUST-60772,2025-06-22 23:04:30,Electronics,1193.67,Credit Card,Approved
TXN-100032,CUST-88388,2025-08-01 02:56:17,Beauty,114.7,Bank Transfer,Approved
TXN-100033,CUST-69281,2025-07-26 21:54:48,Books,14.25,Bank Transfer,Approved
TXN-100034,CUST-52597,2026-04-25 09:17:20,Books,31.84,Apple Pay,Approved
TXN-100035,CUST-97484,2026-03-08 17:24:22,Apparel,147.63,PayPal,Approved
TXN-100036,CUST-74568,2025-09-05 16:37:57,Home & Kitchen,393.12,Credit Card,Approved
TXN-100037,CUST-38839,2026-05-13 22:16:08,Home & Kitchen,183.68,Bank Transfer,Approved
TXN-100038,CUST-77611,2025-07-21 13:31:16,Beauty,137.4,PayPal,Approved
TXN-100039,CUST-66513,2025-07-14 15:38:08,Home & Kitchen,37.19,Apple Pay,Approved
TXN-100040,CUST-71690,2025-10-10 14:02:33,Electronics,352.73,Apple Pay,Approved
TXN-100041,CUST-69281,2026-03-14 13:11:59,Electronics,1160.52,Apple Pay,Approved
TXN-100042,CUST-35206,2025-06-29 08:24:38,Electronics,435.63,Apple Pay,Approved
TXN-100043,CUST-88790,2026-03-08 10:42:09,Apparel,48.5,Credit Card,Approved
